REFERENCE_NUMBER,ENTITY_TYPE,FIRST_NAME,SECOND_NAME,THIRD_NAME,FOURTH_NAME,UN_LIST_TYPE,DESIGNATION,NATIONALITY,NATIONALITY2
KPi.033,INDIVIDUAL,RI,WON HO,,,DPRK,DPRK Ministry of State Security Official,Democratic People's Republic of Korea,
KPi.037,INDIVIDUAL,CHANG,CHANG HA,,,DPRK,President of the Second Academy of Natural Sciences (SANS),Democratic People's Republic of Korea,
KPi.038,INDIVIDUAL,CHO,CHUN RYONG,,,DPRK,Chairman of the Second Economic Committee (SEC) ,Democratic People's Republic of Korea ,
QDi.430,INDIVIDUAL,EMRAAN,ALI,,,Al-Qaida,,Trinidad and Tobago,
KPi.034,INDIVIDUAL,JO,YONG CHOL,,,DPRK,DPRK Ministry of State Security Official,Democratic People's Republic of Korea,
KPi.035,INDIVIDUAL,KIM,CHOL SAM,,,DPRK,Representative for Daedong Credit Bank (DCB),Democratic People's Republic of Korea,
KPi.036,INDIVIDUAL,KIM,SOK CHOL,,,DPRK,Acted as the DPRK Ambassador to Burma ,Democratic People's Republic of Korea,
KPi.030,INDIVIDUAL,KIM,SONG CHOL,,,DPRK,,Democratic People's Republic of Korea,
KPi.032,INDIVIDUAL,KIM,SE GON,,,DPRK,,Democratic People's Republic of Korea,
KPi.031,INDIVIDUAL,SON,JONG HYOK,,,DPRK,,Democratic People's Republic of Korea,
KPi.039,INDIVIDUAL,SON,MUN SAN,,,DPRK,"Director-General of the External Affairs Bureau of the General Bureau of
Atomic Energy (GBAE) ",Democratic People's Republic of Korea ,
YEi.001,INDIVIDUAL,ABD,AL-KHALIQ,AL-HOUTHI,,Yemen,Huthi military commander,Yemen,
SOi.020,INDIVIDUAL,MAHAD,KARATE,,,Somalia,,,
QDi.400,INDIVIDUAL,IYAD,NAZMI,SALIH,KHALIL,Al-Qaida,,Jordan,
QDi.343,INDIVIDUAL,ASHRAF,MUHAMMAD,YUSUF,'UTHMAN 'ABD AL-SALAM,Al-Qaida,,Jordan,
IRi.001,INDIVIDUAL,FEREIDOUN,ABBASI-DAVANI,,,Iran,"Senior Ministry of Defence and Armed Forces Logistics (MODAFL)
Scientist",,
TAi.155,INDIVIDUAL,ABDUL AZIZ,ABBASIN,,,Taliban,,,
QDi.012,INDIVIDUAL,NASHWAN,ABD AL-RAZZAQ,ABD AL-BAQI,,Al-Qaida,,Iraq,
IQi.043,INDIVIDUAL,HUMAM,ABD-AL-KHALIQ,ABD-AL-GHAFUR,,Iraq,,Iraq,
QDi.192,INDIVIDUAL,ABD ALLAH,MOHAMED,RAGAB,ABDEL RAHMAN,Al-Qaida,,Egypt,
TAi.121,INDIVIDUAL,AZIZIRAHMAN,ABDUL AHAD,,,Taliban,"Third Secretary, Taliban Embassy, Abu Dhabi, United Arab
Emirates",Afghanistan,
TAi.024,INDIVIDUAL,ABDUL GHANI,BARADAR,ABDUL AHMAD TURK,,Taliban,Deputy Minister of Defence under the Taliban regime,Afghanistan,
TAi.128,INDIVIDUAL,ABDUL QADEER,BASIR,ABDUL BASEER,,Taliban,"Military Attache, Taliban Embassy, Islamabad, Pakistan",Afghanistan,
TAi.100,INDIVIDUAL,NAZIR MOHAMMAD,ABDUL BASIR,,,Taliban,Mayor of Kunduz City,Afghanistan,
QDi.054,INDIVIDUAL,MAJEED,ABDUL CHAUDHRY,,,Al-Qaida,,Pakistan,
TAi.130,INDIVIDUAL,ABDUL GHAFAR,QURISHI,ABDUL GHANI,,Taliban,"Repatriation Attache, Taliban Embassy, Islamabad,
Pakistan",Afghanistan,
TAi.162,INDIVIDUAL,ABDUL SATAR,ABDUL MANAN,,,Taliban,,,
QDi.018,INDIVIDUAL,ABDUL MANAN AGHA,,,,Al-Qaida,,,
TAi.142,INDIVIDUAL,ABDUL HAI,HAZEM,ABDUL QADER,,Taliban,"First Secretary, Taliban Consulate General, Quetta,
Pakistan",Afghanistan,
TAi.105,INDIVIDUAL,AHMAD TAHA,KHALID,ABDUL QADIR,,Taliban,Governor of Paktia Province under the Taliban regime,Afghanistan,
TAi.080,INDIVIDUAL,SAYED ESMATULLAH,ASEM,ABDUL QUDDUS,,Taliban,"Deputy Minister of Preventing Vice and Propagating Virtue under the
Taliban regime",Afghanistan,
QDi.295,INDIVIDUAL,MUHAMMAD,JIBRIL,ABDUL RAHMAN,,Al-Qaida,,Indonesia,
QDi.229,INDIVIDUAL,ALY,SOLIMAN,MASSOUD,ABDUL SAYED,Al-Qaida,,Libya,
TAi.008,INDIVIDUAL,SHAMS,UR-RAHMAN,ABDUL ZAHIR,,Taliban,Deputy Minister of Agriculture under the Taliban regime,Afghanistan,
TAi.145,INDIVIDUAL,AMIR,ABDULLAH,,,Taliban,Former Kandahar Province Deputy Taliban Governor,Afghanistan,
QDi.309,INDIVIDUAL,ABDUR REHMAN,,,,Al-Qaida,,Pakistan,
QDi.363,INDIVIDUAL,MAGHOMED,MAGHOMEDZAKIROVICH,ABDURAKHMANOV,,Al-Qaida,,Russian Federation,
QDi.086,INDIVIDUAL,MOHAMAD,IQBAL,ABDURRAHMAN,,Al-Qaida,,Indonesia,
QDi.414,INDIVIDUAL,ABDULPATTA,ESCALON,ABUBAKAR,,Al-Qaida,,Philippines,
TAi.160,INDIVIDUAL,ABDUL SAMAD,ACHEKZAI,,,Taliban,,Afghanistan,
TAi.167,INDIVIDUAL,ADAM KHAN,ACHEKZAI,,,Taliban,,Pakistan,
QDi.304,INDIVIDUAL,MOCHAMMAD,ACHWAN,,,Al-Qaida,,Indonesia,
CFi.002,INDIVIDUAL,NOURREDINE,ADAM,,,CAR,General,Central African Republic,
SOi.018,INDIVIDUAL,ABUKAR,ALI,ADAN,,Somalia,Deputy leader of Al-Shabaab ,,
MLi.004,INDIVIDUAL,AHMED,AG ALBACHAR,,,Mali,President of the Humanitarian Commission of the Bureau Regional d’Administration et Gestion de Kidal ,Mali,
MLi.005,INDIVIDUAL,HOUKA,HOUKA,AG ALHOUSSEINI,,Mali,,Mali,
QDi.316,INDIVIDUAL,IYAD,AG GHALI,,,Al-Qaida,,Mali,
QDi.424,INDIVIDUAL,BAH,AG MOUSSA,,,Al-Qaida,,Mali,
TAi.114,INDIVIDUAL,ABDUL RAHMAN,AGHA,,,Taliban,"Chief Justice of Military Court under the Taliban
regime",Afghanistan,
TAi.156,INDIVIDUAL,AHMAD,ZIA,AGHA,,Taliban,,,
TAi.091,INDIVIDUAL,JANAN,AGHA,,,Taliban,Governor of Faryab Province under the Taliban regime,Afghanistan,
TAi.057,INDIVIDUAL,SAYED,MOHAMMAD,AZIM,AGHA,Taliban,"Director of the Passport and Visa Department in the Ministry of
Interior under the Taliban regime",Afghanistan,
TAi.072,INDIVIDUAL,SAYYED GHIASSOUDDINE,AGHA,,,Taliban,"Minister of Haj and Religious Affairs under the Taliban
regime",Afghanistan,
TAi.174,INDIVIDUAL,TOREK,AGHA,,,Taliban,,,
IRi.003,INDIVIDUAL,AZIM,AGHAJANI,,,Iran,"Member of the IRGC-Qods Force operating under the direction of Qods
Force Commander, Major General Qasem Soleimani, who was designated by the UN Security
Council in resolution 1747 (2007)",Iran (Islamic Republic of),
QDi.203,INDIVIDUAL,FARHAD,KANABI,AHMAD,,Al-Qaida,,Iraq,
IQi.080,INDIVIDUAL,MUHAMMAD,YUNIS,AHMAD,,Iraq,,Iraq,
QDi.226,INDIVIDUAL,NAJMUDDIN,FARAJ,AHMAD,,Al-Qaida,,Iraq,
QDi.237,INDIVIDUAL,JABER,ABDALLAH,JABER,AHMAD AL-JALAHMAH,Al-Qaida,,Kuwait,
TAi.031,INDIVIDUAL,MOHAMMAD,AHMADI,,,Taliban,"President of Central Bank (Da Afghanistan Bank) under the Taliban
regime",Afghanistan,
IRi.004,INDIVIDUAL,ALI AKBAR,AHMADIAN,,,Iran,Vice Admiral,,
SOi.012,INDIVIDUAL,ABUBAKER,SHARIFF,AHMED,,Somalia,,,
IQi.073,INDIVIDUAL,ADNAN,S.,HASAN,AHMED,Iraq,,Iraq,
QDi.014,INDIVIDUAL,TARIQ,ANWAR,EL SAYED,AHMED,Al-Qaida,,Egypt,
QDi.193,INDIVIDUAL,ZAKI,EZAT,ZAKI,AHMED,Al-Qaida,,Egypt,
TAi.159,INDIVIDUAL,AHMED JAN,WAZIR,AKHTAR MOHAMMAD,,Taliban,"Official of the Ministry of Finance during the Taliban
regime",,
TAi.149,INDIVIDUAL,SALEH,MOHAMMAD,KAKAR,AKHTAR MUHAMMAD,Taliban,,Afghanistan,
TAi.094,INDIVIDUAL,ABDUL BARI,AKHUND,,,Taliban,Governor of Helmand Province under the Taliban regime,Afghanistan,
TAi.009,INDIVIDUAL,ATTIQULLAH,AKHUND,,,Taliban,Deputy Minister of Agriculture under the Taliban regime,Afghanistan,
TAi.158,INDIVIDUAL,MOHAMMAD,AMAN,AKHUND,,Taliban,,,
TAi.002,INDIVIDUAL,MOHAMMAD,HASSAN,AKHUND,,Taliban,"First Deputy, Council of Ministers under the Taliban regime",Afghanistan,
TAi.066,INDIVIDUAL,MOHAMMAD ABBAS,AKHUND,,,Taliban,Mayor of Kandahar under the Taliban regime,Afghanistan,
TAi.060,INDIVIDUAL,MOHAMMAD ESSA,AKHUND,,,Taliban,"Minister of Water, Sanitation and Electricity under the Taliban
regime",Afghanistan,
TAi.109,INDIVIDUAL,AHMAD JAN,AKHUNDZADA,SHUKOOR,AKHUNDZADA,Taliban,"Governor of Zabol and Uruzgan Provinces under the Taliban
regime",Afghanistan,
TAi.083,INDIVIDUAL,EHSANULLAH,SARFIDA,HESAMUDDIN,AKHUNDZADA,Taliban,"Deputy Minister of Security (Intelligence) under the Taliban
regime",Afghanistan,
TAi.101,INDIVIDUAL,MOHAMMAD ESHAQ,AKHUNZADA,,,Taliban,Governor of Laghman Province under the Taliban regime,Afghanistan,
QDi.313,INDIVIDUAL,DJAMEL,AKKACHA,,,Al-Qaida,,Algeria,
QDi.325,INDIVIDUAL,ABOU,MOHAMED,AL ADNANI,,Al-Qaida,,Iraq,
QDi.328,INDIVIDUAL,HAJJAJ,BIN,FAHD,AL AJMI,Al-Qaida,,Kuwait,
QDi.324,INDIVIDUAL,ABDUL MOHSEN,ABDALLAH,IBRAHIM,AL CHAREKH,Al-Qaida,,Saudi Arabia,
QDi.228,INDIVIDUAL,MOHAMMED,AL GHABRA,,,Al-Qaida,,United Kingdom of Great Britain and Northern Ireland,
QDi.429,INDIVIDUAL,MOHAMMAD,ALI,AL HABBO,,Al-Qaida,,Syrian Arab Republic,
YEi.002,INDIVIDUAL,ABDULLAH,YAHYA,AL HAKIM,,Yemen,Huthi group second-in-command,Yemen,
QDi.327,INDIVIDUAL,ABDELRAHMAN,MOUHAMAD ZAFIR,AL DABIDI,AL JAHANI,Al-Qaida,,Saudi Arabia,
QDi.420,INDIVIDUAL,TAHA,IBRAHIM,ABDALLAH BAKR,AL KHUWAYT,Al-Qaida,,Iraq,
LYi.005,INDIVIDUAL,AMID,HUSAIN,AL KUNI,,Libya,Governor of Ghat (South Libya),,
LYi.004,INDIVIDUAL,QUREN,SALIH,QUREN,AL QADHAFI,Libya,Libyan Ambassador to Chad,,
IQi.074,INDIVIDUAL,MUNIR,AL QUBAYSI,,,Iraq,,Iraq,
YEi.007,INDIVIDUAL,SALEH,MESFER,SALEH,AL SHAER,Yemen,"Major General, ‘Judicial Custodian’ of properties and funds owned by
                Houthis’ opponents",Yemen,
QDi.361,INDIVIDUAL,AMRU,AL-ABSI,,,Al-Qaida,,,
QDi.338,INDIVIDUAL,SHAFI,SULTAN,MOHAMMED,AL-AJMI,Al-Qaida,,Kuwait,
QDi.236,INDIVIDUAL,HAMID,ABDALLAH,AHMAD,AL-ALI,Al-Qaida,,Kuwait,
QDi.092,INDIVIDUAL,MEHREZ,BEN MAHMOUD,BEN SASSI,AL-AMDOUNI,Al-Qaida,,Tunisia,
QDi.389,INDIVIDUAL,ABU UBAYDAH,YUSUF,AL-ANABI,,Al-Qaida,,Algeria,
IQi.076,INDIVIDUAL,ADIB,SHABAN,AL-ANI,,Iraq,,Iraq,
QDi.060,INDIVIDUAL,MOHAMED,BEN BELGACEM,BEN ABDALLAH,AL-AOUADI,Al-Qaida,,Tunisia,
QDi.291,INDIVIDUAL,IBRAHIM,HASSAN,TALI,AL-ASIRI,Al-Qaida,,Saudi Arabia,
QDi.283,INDIVIDUAL,ANWAR,NASSER,ABDULLA,AL-AULAQI,Al-Qaida,,United States of America,
IQi.028,INDIVIDUAL,HIKMAT,MIZBAN,IBRAHIM,AL-AZZAWI,Iraq,,Iraq,
LYi.001,INDIVIDUAL,ABDULQADER,MOHAMMED,AL-BAGHDADI,,Libya,"Head of the Liaison Office of the Revolutionary
Committees",,
QDi.344,INDIVIDUAL,IBRAHIM,'ISA HAJJI,MUHAMMAD,AL-BAKR,Al-Qaida,,Qatar,
LYi.019,INDIVIDUAL,SAFIA,FARKASH,AL-BARASSI,,Libya,,,
QDi.231,INDIVIDUAL,SALEM,NOR ELDIN,AMOHAMED,AL-DABSKI,Al-Qaida,,Libya,
QDi.278,INDIVIDUAL,MUTHANNA,HARITH,AL-DARI,,Al-Qaida,,Iraq,
QDi.149,INDIVIDUAL,NOUREDDINE,BEN ALI,BEN BELKASSEM,AL-DRISSI,Al-Qaida,,Tunisia,
IQi.006,INDIVIDUAL,IZZAT,IBRAHIM,AL-DURI,,Iraq,,Iraq,
IQi.068,INDIVIDUAL,JAWHAR,MAJID,AL-DURI,,Iraq,,Iraq,
QDi.379,INDIVIDUAL,ABD AL-AZIZ,ADAY,ZIMIN,AL-FADHIL,Al-Qaida,,,
QDi.059,INDIVIDUAL,KHALID,ABD AL-RAHMAN,HAMD,AL-FAWAZ,Al-Qaida,,Saudi Arabia,
YEi.008,INDIVIDUAL,MUHAMMAD,ABD AL-KARIM,AL-GHAMARI,,Yemen,"Major General, Houthi Chief of General Staff ",Yemen,
QDi.292,INDIVIDUAL,OTHMAN,AHMED,OTHMAN,AL-GHAMDI,Al-Qaida,,Saudi Arabia,
QDi.332,INDIVIDUAL,IBRAHIM,SULEIMAN,HAMAD,AL-HABLAIN,Al-Qaida,,Saudi Arabia,
QDi.140,INDIVIDUAL,KAMAL,BEN MAOELDI,BEN HASSAN,AL-HAMRAOUI,Al-Qaida,,Tunisia,
QDi.399,INDIVIDUAL,BASSAM,AHMAD,AL-HASRI,,Al-Qaida,,Syrian Arab Republic,
YEi.004,INDIVIDUAL,ABDULMALIK,AL-HOUTHI,,,Yemen,,,
QDi.317,INDIVIDUAL,ABU MOHAMMED,AL-JAWLANI,,,Al-Qaida,,Syrian Arab Republic,
IQi.020,INDIVIDUAL,TAHA,YASSIN,RAMADAN,AL-JIZRAWI,Iraq,,Iraq,
QDi.337,INDIVIDUAL,MAYSAR ALI,MUSA,ABDALLAH,AL-JUBURI,Al-Qaida,,Iraq,
QDi.382,INDIVIDUAL,SA'D,BIN SA'D,MUHAMMAD SHARIYAN,AL-KA'BI,Al-Qaida,,Qatar,
QDi.318,INDIVIDUAL,MUHAMMAD,JAMAL,ABD-AL RAHIM AHMAD,AL-KASHIF,Al-Qaida,,Egypt,
QDi.380,INDIVIDUAL,ABD AL-LATIF,BIN ABDALLAH,SALIH MUHAMMAD,AL-KAWARI,Al-Qaida,,Qatar,
IQi.048,INDIVIDUAL,MUHSIN,KHADR,AL-KHAFAJI,,Iraq,,Iraq,
QDi.412,INDIVIDUAL,UMAR,MAHMUD,IRHAYYIM,AL-KUBAYSI,Al-Qaida,,Iraq,
QDi.177,INDIVIDUAL,HABIB,BEN,AHMED,AL-LOUBIRI,Al-Qaida,,Tunisia,
QDi.074,INDIVIDUAL,TAREK,BEN HABIB,BEN AL-TOUMI,AL-MAAROUFI,Al-Qaida,,Tunisia,
YEi.009,INDIVIDUAL,YUSUF,AL-MADANI,,,Yemen,Commander of the Houthi’s Fifth Military Region ,Yemen,
QDi.411,INDIVIDUAL,SALIM,MUSTAFA,MUHAMMAD,AL-MANSUR,Al-Qaida,,Iraq,
IQi.046,INDIVIDUAL,SAIF-AL-DIN,AL-MASHHADANI,,,Iraq,,Iraq,
QDi.320,INDIVIDUAL,ABD-AL-HAMID,AL-MASLI,,,Al-Qaida,,Libya,
QDi.330,INDIVIDUAL,AZZAM,ABDULLAH,ZUREIK,AL-MAULID AL-SUBHI,Al-Qaida,,Saudi Arabia,
QDi.276,INDIVIDUAL,AKRAM,TURKI,HISHAN,AL-MAZIDIH,Al-Qaida,,,
QDi.277,INDIVIDUAL,GHAZY,FEZZA,HISHAN,AL-MAZIDIH,Al-Qaida,,,
IQi.054,INDIVIDUAL,KHAMIS,SIRHAN,AL-MUHAMMAD,,Iraq,,Iraq,
QDi.377,INDIVIDUAL,MUHANNAD,AL-NAJDI,,,Al-Qaida,,Saudi Arabia,
QDi.334,INDIVIDUAL,‘ABD AL-RAHMAN,BIN ‘UMAYR,AL-NU’AYMI,,Al-Qaida,,Qatar,
QDi.273,INDIVIDUAL,FAZEEL-A-TUL,SHAYKH ABU MOHAMMED,AMEEN,AL-PESHAWARI,Al-Qaida,,Afghan,
QDi.339,INDIVIDUAL,‘ABD AL-RAHMAN,MUHAMMAD,MUSTAFA,AL-QADULI,Al-Qaida,,Iraq,
QDi.432,INDIVIDUAL,ASHRAF,AL-QIZANI,,,Al-Qaida,,Tunisia,
IQi.070,INDIVIDUAL,NIDAL,AL-RABI'I,,,Iraq,,Iraq,
IQi.030,INDIVIDUAL,AYAD,FUTAYYIH,KHALIFA,AL-RAWI,Iraq,,Iraq,
IQi.014,INDIVIDUAL,SAIF-AL-DIN,FULAYYIH,HASSAN TAHA,AL-RAWI,Iraq,,Iraq,
QDi.282,INDIVIDUAL,QASIM,MOHAMED,MAHDI,AL-RIMI,Al-Qaida,,Yemen,
QDi.369,INDIVIDUAL,MU’TASSIM,YAHYA,‘ALI,AL-RUMAYSH,Al-Qaida,,Yemen,
IQi.032,INDIVIDUAL,AMIR,HAMUDI,HASSAN,AL-SA'DI,Iraq,,Iraq,
QDi.415,INDIVIDUAL,ADNAN,ABOU WALID,AL-SAHRAOUI,,Al-Qaida,,,
LYi.018,INDIVIDUAL,ABDULLAH,AL-SENUSSI,,,Libya,Director Military Intelligence,,
QDi.381,INDIVIDUAL,HAMAD,AWAD,DAHI SARHAN,AL-SHAMMARI,Al-Qaida,,Kuwait,
QDi.384,INDIVIDUAL,ALI MUSA,AL-SHAWAKH,,,Al-Qaida,,Syrian Arab Republic,
QDi.385,INDIVIDUAL,HASAN,AL-SALAHAYN,SALIH,AL-SHA’ARI,Al-Qaida,,Libya,
IQi.027,INDIVIDUAL,SULTAN,HASHIM,AHMAD,AL-TA'I,Iraq,,Iraq,
IQi.004,INDIVIDUAL,ABID,HAMID,MAHMUD,AL-TIKRITI,Iraq,,Iraq,
IQi.005,INDIVIDUAL,ALI,HASSAN,AL-MAJID,AL-TIKRITI,Iraq,,Iraq,
IQi.061,INDIVIDUAL,ALI,SADDAM,HUSSEIN,AL-TIKRITI,Iraq,,Iraq,
IQi.011,INDIVIDUAL,BARZAN,ABD AL-GHAFUR,SULAIMAN MAJID,AL-TIKRITI,Iraq,,Iraq,
IQi.038,INDIVIDUAL,BARZAN,IBRAHIM,HASSAN,AL-TIKRITI,Iraq,,Iraq,
IQi.059,INDIVIDUAL,HALA,SADDAM,HUSSEIN,AL-TIKRITI,Iraq,,Iraq,
IQi.017,INDIVIDUAL,HAMID,RAJA,SHALAH,AL-TIKRITI,Iraq,,Iraq,
IQi.007,INDIVIDUAL,HANI,ABD-AL-LATIF,TILFAH,AL-TIKRITI,Iraq,,Iraq,
IQi.013,INDIVIDUAL,IBRAHIM,AHMAD ABD AL-SATTAR,MUHAMMED,AL-TIKRITI,Iraq,,Iraq,
IQi.022,INDIVIDUAL,JAMAL,MUSTAFA ABDALLAH,SULTAN,AL-TIKRITI,Iraq,,Iraq,
IQi.012,INDIVIDUAL,MUZAHIM,SA'B,HASSAN,AL-TIKRITI,Iraq,,Iraq,
IQi.002,INDIVIDUAL,QUSAY,SADDAM,HUSSEIN,AL-TIKRITI,Iraq,,Iraq,
IQi.015,INDIVIDUAL,RAFI,ABD-AL-LATIF,TILFAH,AL-TIKRITI,Iraq,,Iraq,
IQi.057,INDIVIDUAL,RAGHAD,SADDAM,HUSSEIN,AL-TIKRITI,Iraq,,Iraq,
IQi.058,INDIVIDUAL,RANA,SADDAM,HUSSEIN,AL-TIKRITI,Iraq,,Iraq,
IQi.021,INDIVIDUAL,RUKAN,RAZUKI,ABD-AL-GHAFUR SULAIMAN,AL-TIKRITI,Iraq,,Iraq,
IQi.055,INDIVIDUAL,SA'D,ABD-AL-MAJID,AL-FAISAL,AL-TIKRITI,Iraq,,Iraq,
IQi.036,INDIVIDUAL,SAB'AWI,IBRAHIM,HASSAN,AL-TIKRITI,Iraq,,Iraq,
IQi.001,INDIVIDUAL,SADDAM,HUSSEIN,AL-TIKRITI,,Iraq,,Iraq,
IQi.016,INDIVIDUAL,TAHIR,JALIL,HABBUSH,AL-TIKRITI,Iraq,,Iraq,
IQi.003,INDIVIDUAL,UDAY,SADDAM,HUSSEIN,AL-TIKRITI,Iraq,,Iraq,
IQi.026,INDIVIDUAL,WALID,HAMID,TAWFIQ,AL-TIKRITI,Iraq,,Iraq,
IQi.037,INDIVIDUAL,WATBAN,IBRAHIM,HASSAN,AL-TIKRITI,Iraq,,Iraq,
SOi.003,INDIVIDUAL,HASSAN,ABDULLAH,HERSI,AL-TURKI,Somalia,,Somalia,
IQi.051,INDIVIDUAL,GHAZI,HAMMUD,AL-UBAIDI,,Iraq,,Iraq,
IQi.044,INDIVIDUAL,YAHIA,ABDALLAH,AL-UBAIDI,,Iraq,,Iraq,
IQi.071,INDIVIDUAL,INTISSAR,AL-UBAYDI,,,Iraq,,Iraq,
QDi.015,INDIVIDUAL,MAHFOUZ,OULD,AL-WALID,,Al-Qaida,,Mauritania,
QDi.329,INDIVIDUAL,AHMED,ABDULLAH,SALEH AL-KHAZMARI,AL-ZAHRANI,Al-Qaida,,Saudi Arabia,
QDi.392,INDIVIDUAL,FAYSAL,AHMAD,BIN ALI,AL-ZAHRANI,Al-Qaida,,Saudi Arabia,
QDi.401,INDIVIDUAL,GHALIB,ABDULLAH,AL-ZAIDI,,Al-Qaida,,Yemen,
QDi.006,INDIVIDUAL,AIMAN,MUHAMMED,RABI,AL-ZAWAHIRI,Al-Qaida,,Egypt,
QDi.156,INDIVIDUAL,ABD-AL-MAJID,AZIZ,AL-ZINDANI,,Al-Qaida,,Yemen,
IQi.050,INDIVIDUAL,UGLA,ABID,SAKR,AL-ZUBAISI,Iraq,,Iraq,
QDi.326,INDIVIDUAL,HAMID,HAMAD,HAMID,AL-‘ALI,Al-Qaida,,Kuwait,
QDi.335,INDIVIDUAL,‘ABD AL-RAHMAN,KHALAF,‘UBAYD JUDAY’,AL-‘ANIZI,Al-Qaida,,Kuwait,
QDi.154,INDIVIDUAL,SULAIMAN,JASSEM,SULAIMAN,ALI ABO GHAITH,Al-Qaida,,Kuwaiti citizenship withdrawn in 2002,
QDi.299,INDIVIDUAL,IBRAHIM,AWWAD,IBRAHIM,ALI AL-BADRI AL-SAMARRAI,Al-Qaida,,Iraq,
QDi.296,INDIVIDUAL,MATI UR-REHMAN,ALI MUHAMMAD,,,Al-Qaida,,Pakistan,
TAi.148,INDIVIDUAL,ABDUL HABIB,ALIZAI,,,Taliban,,Afghanistan,
QDi.370,INDIVIDUAL,TARAD,MOHAMMAD,Alnori Alfares,ALJARBA,Al-Qaida,,Saudi Arabia,
TAi.143,INDIVIDUAL,HAMDULLAH,ALLAH NOOR,,,Taliban,"Repatriation Attache, Taliban Consulate General, Quetta,
Pakistan",Afghanistan,
SDi.002,INDIVIDUAL,MUSA,HILAL,ABDALLA,ALNSIEM,Sudan,formerly Member of the National Assembly of Sudan from Al-Waha district ,Sudan,
